Year,Age_Group,Gender,Education_Level,Samples,Income
1991,18 to 24 years,Male,Less than 9th Grade,149,12327
1991,25 to 34 years,Male,Less than 9th Grade,394,15853
1991,35 to 44 years,Male,Less than 9th Grade,386,19972
1991,45 to 54 years,Male,Less than 9th Grade,426,20713
1991,55 to 64 years,Male,Less than 9th Grade,482,22274
1991,65 years and over,Male,Less than 9th Grade,119,16479
1991,18 to 24 years,Female,Less than 9th Grade,NA,NA
1991,25 to 34 years,Female,Less than 9th Grade,143,12521
1991,35 to 44 years,Female,Less than 9th Grade,173,12255
1991,45 to 54 years,Female,Less than 9th Grade,214,12319
1991,55 to 64 years,Female,Less than 9th Grade,150,13201
1991,65 years and over,Female,Less than 9th Grade,NA,NA
1991,18 to 24 years,Male,High School Graduate (includes equivalency),1768,16559
1991,25 to 34 years,Male,High School Graduate (includes equivalency),5548,24045
1991,35 to 44 years,Male,High School Graduate (includes equivalency),4475,28984
1991,45 to 54 years,Male,High School Graduate (includes equivalency),3087,32468
1991,55 to 64 years,Male,High School Graduate (includes equivalency),1654,32484
1991,65 years and over,Male,High School Graduate (includes equivalency),260,27165
1991,18 to 24 years,Female,High School Graduate (includes equivalency),1326,13558
1991,25 to 34 years,Female,High School Graduate (includes equivalency),3287,18269
1991,35 to 44 years,Female,High School Graduate (includes equivalency),3460,19824
1991,45 to 54 years,Female,High School Graduate (includes equivalency),2657,20342
1991,55 to 64 years,Female,High School Graduate (includes equivalency),1351,18914
1991,65 years and over,Female,High School Graduate (includes equivalency),182,17757
1991,18 to 24 years,Male,Associate Degree,167,19114
1991,25 to 34 years,Male,Associate Degree,933,29923
1991,35 to 44 years,Male,Associate Degree,1213,37887
1991,45 to 54 years,Male,Associate Degree,466,41796
1991,55 to 64 years,Male,Associate Degree,245,32695
1991,65 years and over,Male,Associate Degree,NA,NA
1991,18 to 24 years,Female,Associate Degree,190,17979
1991,25 to 34 years,Female,Associate Degree,934,23120
1991,35 to 44 years,Female,Associate Degree,904,27329
1991,45 to 54 years,Female,Associate Degree,495,26035
1991,55 to 64 years,Female,Associate Degree,160,28168
1991,65 years and over,Female,Associate Degree,NA,NA
1991,18 to 24 years,Male,Bachelor's Degree,255,22479
1991,25 to 34 years,Male,Bachelor's Degree,2739,36198
1991,35 to 44 years,Male,Bachelor's Degree,2971,46238
1991,45 to 54 years,Male,Bachelor's Degree,1778,50715
1991,55 to 64 years,Male,Bachelor's Degree,770,53008
1991,65 years and over,Male,Bachelor's Degree,197,45954
1991,18 to 24 years,Female,Bachelor's Degree,362,20556
1991,25 to 34 years,Female,Bachelor's Degree,2296,28021
1991,35 to 44 years,Female,Bachelor's Degree,1687,32192
1991,45 to 54 years,Female,Bachelor's Degree,892,31586
1991,55 to 64 years,Female,Bachelor's Degree,319,29684
1991,65 years and over,Female,Bachelor's Degree,NA,NA
1991,18 to 24 years,Male,Master's Degree,NA,NA
1991,25 to 34 years,Male,Master's Degree,608,47934
1991,35 to 44 years,Male,Master's Degree,1141,53819
1991,45 to 54 years,Male,Master's Degree,944,58532
1991,55 to 64 years,Male,Master's Degree,347,52603
1991,65 years and over,Male,Master's Degree,NA,NA
1991,18 to 24 years,Female,Master's Degree,NA,NA
1991,25 to 34 years,Female,Master's Degree,430,34596
1991,35 to 44 years,Female,Master's Degree,808,36753
1991,45 to 54 years,Female,Master's Degree,561,39579
1991,55 to 64 years,Female,Master's Degree,190,35601
1991,65 years and over,Female,Master's Degree,NA,NA
1991,18 to 24 years,Male,Professional Degree,NA,NA
1991,25 to 34 years,Male,Professional Degree,226,61038
1991,35 to 44 years,Male,Professional Degree,443,80719
1991,45 to 54 years,Male,Professional Degree,283,86440
1991,55 to 64 years,Male,Professional Degree,148,89933
1991,65 years and over,Male,Professional Degree,NA,NA
1991,18 to 24 years,Female,Professional Degree,NA,NA
1991,25 to 34 years,Female,Professional Degree,111,43429
1991,35 to 44 years,Female,Professional Degree,118,61484
1991,45 to 54 years,Female,Professional Degree,NA,NA
1991,55 to 64 years,Female,Professional Degree,NA,NA
1991,65 years and over,Female,Professional Degree,NA,NA
1991,18 to 24 years,Male,Doctorate Degree,NA,NA
1991,25 to 34 years,Male,Doctorate Degree,NA,NA
1991,35 to 44 years,Male,Doctorate Degree,219,65384
1991,45 to 54 years,Male,Doctorate Degree,233,61837
1991,55 to 64 years,Male,Doctorate Degree,124,78126
1991,65 years and over,Male,Doctorate Degree,NA,NA
1991,18 to 24 years,Female,Doctorate Degree,NA,NA
1991,25 to 34 years,Female,Doctorate Degree,NA,NA
1991,35 to 44 years,Female,Doctorate Degree,NA,NA
1991,45 to 54 years,Female,Doctorate Degree,NA,NA
1991,55 to 64 years,Female,Doctorate Degree,NA,NA
1991,65 years and over,Female,Doctorate Degree,NA,NA
1991,18 to 24 years,Male,9th to 12th Grade (no diploma),466,13694
1991,25 to 34 years,Male,9th to 12th Grade (no diploma),916,19596
1991,35 to 44 years,Male,9th to 12th Grade (no diploma),818,23770
1991,45 to 54 years,Male,9th to 12th Grade (no diploma),678,25277
1991,55 to 64 years,Male,9th to 12th Grade (no diploma),571,29491
1991,65 years and over,Male,9th to 12th Grade (no diploma),100,18926
1991,18 to 24 years,Female,9th to 12th Grade (no diploma),189,11253
1991,25 to 34 years,Female,9th to 12th Grade (no diploma),408,13849
1991,35 to 44 years,Female,9th to 12th Grade (no diploma),495,15037
1991,45 to 54 years,Female,9th to 12th Grade (no diploma),535,16854
1991,55 to 64 years,Female,9th to 12th Grade (no diploma),305,15116
1991,65 years and over,Female,9th to 12th Grade (no diploma),77,15833
1991,18 to 24 years,Male,"Some College, No Degree",834,16479
1991,25 to 34 years,Male,"Some College, No Degree",2665,28135
1991,35 to 44 years,Male,"Some College, No Degree",2786,34377
1991,45 to 54 years,Male,"Some College, No Degree",1708,41121
1991,55 to 64 years,Male,"Some College, No Degree",742,35291
1991,65 years and over,Male,"Some College, No Degree",133,30365
1991,18 to 24 years,Female,"Some College, No Degree",884,14850
1991,25 to 34 years,Female,"Some College, No Degree",1891,20993
1991,35 to 44 years,Female,"Some College, No Degree",1987,24100
1991,45 to 54 years,Female,"Some College, No Degree",1185,23369
1991,55 to 64 years,Female,"Some College, No Degree",500,24049
1991,65 years and over,Female,"Some College, No Degree",NA,NA
1992,18 to 24 years,Male,Less than 9th Grade,150,12760
1992,25 to 34 years,Male,Less than 9th Grade,410,15471
1992,35 to 44 years,Male,Less than 9th Grade,411,18125
1992,45 to 54 years,Male,Less than 9th Grade,449,22096
1992,55 to 64 years,Male,Less than 9th Grade,457,22287
1992,65 years and over,Male,Less than 9th Grade,88,21464
1992,18 to 24 years,Female,Less than 9th Grade,NA,NA
1992,25 to 34 years,Female,Less than 9th Grade,125,13156
1992,35 to 44 years,Female,Less than 9th Grade,199,14187
1992,45 to 54 years,Female,Less than 9th Grade,180,14462
1992,55 to 64 years,Female,Less than 9th Grade,155,12736
1992,65 years and over,Female,Less than 9th Grade,NA,NA
1992,18 to 24 years,Male,High School Graduate (includes equivalency),1690,16916
1992,25 to 34 years,Male,High School Graduate (includes equivalency),5088,24403
1992,35 to 44 years,Male,High School Graduate (includes equivalency),4579,30226
1992,45 to 54 years,Male,High School Graduate (includes equivalency),3161,33182
1992,55 to 64 years,Male,High School Graduate (includes equivalency),1645,30891
1992,65 years and over,Male,High School Graduate (includes equivalency),249,26820
1992,18 to 24 years,Female,High School Graduate (includes equivalency),1190,14653
1992,25 to 34 years,Female,High School Graduate (includes equivalency),3219,18874
1992,35 to 44 years,Female,High School Graduate (includes equivalency),3452,20374
1992,45 to 54 years,Female,High School Graduate (includes equivalency),2722,20732
1992,55 to 64 years,Female,High School Graduate (includes equivalency),1426,19703
1992,65 years and over,Female,High School Graduate (includes equivalency),207,20214
1992,18 to 24 years,Male,Associate Degree,249,19727
1992,25 to 34 years,Male,Associate Degree,1118,29676
1992,35 to 44 years,Male,Associate Degree,1189,36581
1992,45 to 54 years,Male,Associate Degree,652,40781
1992,55 to 64 years,Male,Associate Degree,223,39206
1992,65 years and over,Male,Associate Degree,21,47103
1992,18 to 24 years,Female,Associate Degree,254,17174
1992,25 to 34 years,Female,Associate Degree,984,24166
1992,35 to 44 years,Female,Associate Degree,920,27529
1992,45 to 54 years,Female,Associate Degree,526,27415
1992,55 to 64 years,Female,Associate Degree,202,25391
1992,65 years and over,Female,Associate Degree,NA,NA
1992,18 to 24 years,Male,Bachelor's Degree,274,27111
1992,25 to 34 years,Male,Bachelor's Degree,3026,37552
1992,35 to 44 years,Male,Bachelor's Degree,3023,49695
1992,45 to 54 years,Male,Bachelor's Degree,1701,52481
1992,55 to 64 years,Male,Bachelor's Degree,812,50023
1992,65 years and over,Male,Bachelor's Degree,158,48878
1992,18 to 24 years,Female,Bachelor's Degree,420,19924
1992,25 to 34 years,Female,Bachelor's Degree,2338,28938
1992,35 to 44 years,Female,Bachelor's Degree,1801,33541
1992,45 to 54 years,Female,Bachelor's Degree,1055,33412
1992,55 to 64 years,Female,Bachelor's Degree,358,32713
1992,65 years and over,Female,Bachelor's Degree,NA,NA
1992,18 to 24 years,Male,Master's Degree,NA,NA
1992,25 to 34 years,Male,Master's Degree,611,45232
1992,35 to 44 years,Male,Master's Degree,1116,54631
1992,45 to 54 years,Male,Master's Degree,1030,59070
1992,55 to 64 years,Male,Master's Degree,383,50912
1992,65 years and over,Male,Master's Degree,NA,NA
1992,18 to 24 years,Female,Master's Degree,NA,NA
1992,25 to 34 years,Female,Master's Degree,413,34644
1992,35 to 44 years,Female,Master's Degree,862,36927
1992,45 to 54 years,Female,Master's Degree,690,38682
1992,55 to 64 years,Female,Master's Degree,203,39152
1992,65 years and over,Female,Master's Degree,NA,NA
1992,18 to 24 years,Male,Professional Degree,NA,NA
1992,25 to 34 years,Male,Professional Degree,262,53045
1992,35 to 44 years,Male,Professional Degree,434,101483
1992,45 to 54 years,Male,Professional Degree,364,96509
1992,55 to 64 years,Male,Professional Degree,174,92963
1992,65 years and over,Male,Professional Degree,NA,NA
1992,18 to 24 years,Female,Professional Degree,NA,NA
1992,25 to 34 years,Female,Professional Degree,109,45730
1992,35 to 44 years,Female,Professional Degree,117,64840
1992,45 to 54 years,Female,Professional Degree,76,64721
1992,55 to 64 years,Female,Professional Degree,NA,NA
1992,65 years and over,Female,Professional Degree,NA,NA
1992,18 to 24 years,Male,Doctorate Degree,NA,NA
1992,25 to 34 years,Male,Doctorate Degree,85,47987
1992,35 to 44 years,Male,Doctorate Degree,246,64916
